Net lending/borrowing (also referred as overall balance) (% of GDP),Country code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Latvia,LVA,,,,,,,,,-0.658235443,-3.541507467,-2.565476789,-2.026179876,-2.588155354,-1.666366694,-1.035591059,-1.063686424,-0.481425012,0.626746697,-3.286232518,-7.135371592,-6.560301738,-3.384892508,0.181820841,-0.581151088,-1.743280353,-1.573014425,-0.409225882,-0.852972505,-0.76515089,-0.393579532,-3.847732073,-5.714192019,-3.944342145,-3.377955145,-1.823364233,-3.454887186,-3.008363596,-4.187641183,-3.885590322,-4.181857407,-4.318522507
Lebanon,LBN,-30.16298689,-19.49887858,-23.97469723,-7.186175794,-29.11165527,-13.64090769,-25.68920098,-24.54952899,-17.27017192,-16.71755423,-23.94479166,-21.02524584,-16.18804921,-13.9671441,-9.832321384,-8.572799885,-10.57243304,-10.92836234,-9.856109566,-8.097662752,-7.466124107,-5.944953178,-8.434469622,-8.823094462,-6.216925256,-7.483924111,-8.883528512,-8.653665737,-11.30000846,-10.5154292,-7.368456532,-2.665530939,-7.766440379,-1.702926867,-0.187998367,-0.476299349,-16.31045618,-2.308407243,-1.90942918,-2.356846996,-0.83675143
Lesotho,LSO,8.777864051,9.740569553,4.653906204,7.55318358,5.694118909,5.131748133,2.113805582,0.266773038,-11.78794169,-15.30211779,-0.948462815,-2.762364685,-2.437457929,0.888895422,6.054826218,4.4590611,11.57026924,10.75152527,8.09589973,-4.157202463,-1.485735122,-9.846266375,4.563783753,-2.582883263,3.157204915,-1.380193868,-9.42782594,-2.015544358,-4.408828421,-5.719257485,1.182683572,-4.94983709,-6.407667364,7.314711324,9.040783598,2.953104368,3.772052621,3.519085793,1.836605821,1.90737317,0.831393803
Liberia,LBR,,,,,,,,,,,-0.084947995,-0.977440208,-1.632753056,0.390773916,-0.555287816,-0.553625912,4.424156244,2.444932314,-2.677120813,-1.387399383,1.170950116,-4.428465696,-2.857938267,1.289887657,-4.92001455,-3.736722722,-3.827848099,-7.135586492,-4.702572287,-4.92482709,-4.020875916,-2.504373878,-5.331564724,-7.027688763,-1.979396664,-1.74590104,-2.414198057,-2.086415074,-2.503462692,-2.523924453,-1.352804774
Libya,LBY,3.355203679,8.413030541,0.106416946,-5.77375354,-2.667015142,3.797005444,11.31864382,-2.10462672,-2.36267493,5.692012581,13.63962052,0.066897304,6.991209281,6.165786701,11.31207359,30.38139426,29.09118549,28.36268475,27.67668882,-5.459464781,11.46864207,-11.45018973,24.61269359,-16.29897561,-30.50778965,-28.49232415,-29.2899323,-11.06177862,9.392683952,11.92969122,-22.27300168,14.82838435,23.59458473,8.216172944,-25.05077634,-4.310440308,-1.010298549,-1.11062429,-1.082145887,-1.057105689,-1.140290045
Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,,,1.97068852,-2.491180888,-1.240849934,2.113127064,3.555585209,2.952588768,2.739463513,2.821658786,3.599228805,7.394290085,2.43261558,3.298840296,4.370718603,3.334174093,2.938675161,3.202292237,3.281790013,3.181492805,3.180291514,3.287722666
Lithuania,LTU,,,,,,-3.311239704,-3.588231133,-0.76056973,-4.932634515,-7.821059925,-3.184327686,-3.52481413,-1.854075385,-1.264528809,-1.388288943,-0.343622958,-0.272479564,-0.816216794,-3.087970395,-9.090268898,-6.95059157,-5.917466658,-3.145738197,-2.693806396,-1.78945605,-0.766494317,0.034007822,0.359991296,0.522476727,0.411839366,-6.417989155,-1.153735523,-0.71521977,-0.687907755,-1.283207227,-2.694136258,-3.847166023,-3.538309041,-3.749847405,-3.808865227,-3.862836606
Luxembourg,LUX,,,,,,2.713888138,2.368579217,2.654745112,2.983271109,3.242209176,5.550745886,5.623115578,2.031098192,0.276430576,-1.392367344,-0.211353654,1.904603059,4.354178843,3.367191874,-0.213055814,-0.25753077,0.650446491,0.503802159,0.840623695,1.331693415,1.303599397,1.889944492,1.366712052,3.1749328,2.678683009,-3.092751538,1.002334353,0.184149342,-0.779511785,1.030397898,-1.056320921,-1.467490801,-1.595765645,-2.094201419,-2.22994001,-2.312387395
Macao SAR,MAC,,,,,,,,,,,,3.262775588,2.662437534,4.799338179,7.797775496,8.314855876,9.740788976,16.37685713,17.47920199,13.36547112,19.4052243,24.67074879,23.98128248,26.98611334,24.16038859,13.81714812,11.41456066,13.27395945,13.32557797,14.43999214,-21.41012366,-12.89122917,-37.03549963,1.072351544,6.909758228,4.130332437,5.563147387,7.068309074,7.466782948,7.866505366,8.266442388
Madagascar,MDG,-0.494167309,-4.398129484,-5.003861736,-6.33821748,-7.232908359,-5.087550777,-3.970637581,-1.997251403,-5.307739179,-2.420563572,-2.35253754,-3.614406154,-4.092046062,-3.321644201,-4.232413882,-2.474755887,-5.710995498,-2.307582103,-1.723202612,-2.261323331,-0.760375833,-2.043157171,-2.237311654,-3.402964519,-1.960686063,-2.850272851,-1.107233859,-2.102886554,-1.337842685,-1.42078555,-3.956818444,-2.827430028,-5.460304316,-4.194687965,-2.478745039,-3.861318305,-4.022163984,-3.83655841,-3.806377174,-3.796610625,-3.558839105
Malawi,MWI,,,,,,,,,,,,,-4.46951067,-2.602409801,-2.612929713,-1.629495765,-0.048299869,-2.556166712,-2.924176008,-2.968777618,0.625491058,-2.849799059,-1.45384004,-3.727255632,-3.08256259,-4.168907772,-4.902310666,-5.150079746,-4.345596131,-4.549471994,-8.032938475,-8.34217136,-9.320975075,-7.841166995,-10.99300081,-10.6358495,-12.80560959,-13.17056268,-11.99246948,-12.10271015,-11.65463223
Malaysia,MYS,0.149006252,1.601570994,1.80547431,3.439744485,5.448558356,3.102752362,3.269790264,4.840118079,-0.627248857,-3.002698643,-6.052531378,-4.360678479,-3.959800368,-4.596958967,-3.35346367,-2.832840099,-2.601963366,-2.57083038,-3.404737749,-5.879790486,-4.319070489,-3.567623431,-3.102877242,-3.478227832,-2.62843747,-2.545883964,-2.602872311,-2.41182946,-2.644669077,-2.008147145,-4.901736352,-6.032418285,-4.559302536,-3.970597069,-3.949552572,-3.605351869,-3.568178363,-3.658895288,-3.646466197,-3.60937419,-3.615729068
Maldives,MDV,-12.76722362,-10.22048926,-12.60424043,-13.88751066,-4.815971257,-5.662037362,-2.012788615,-1.46107611,-2.250965382,-3.028205148,-3.892650351,-3.965632671,-3.96736936,-3.445421018,-2.256833451,-7.806708367,-4.523729991,-3.157810014,-9.924864782,-17.93258965,-13.57974728,-8.130091872,-6.90515655,-3.48684103,-2.418189574,-6.515912684,-9.927716693,-3.021069948,-5.16886369,-6.542842729,-23.69625475,-14.18380103,-11.15819002,-13.16827987,-13.90223151,-9.389782003,-12.9128494,-12.40162237,-11.54430411,-10.3558458,-9.251353916
Mali,MLI,,,,,,,,,,,-2.642545499,-2.798265618,-3.094188867,-1.187494832,-2.359850541,-2.764112925,27.78299183,-2.784249125,-1.970106215,-3.706542918,-2.567534563,-3.416808715,-0.956306003,-2.371998729,-2.886461117,-1.821700512,-3.945064569,-2.861609435,-4.742076013,-1.6840023,-5.420046214,-4.912587336,-4.749822248,-3.572830438,-2.565370719,-3.386992091,-3.2,-3,-3.044,-3,-3
Malta,MLT,,,,,,,,,,,-5.827669903,-6.502636204,-5.617777778,-9.041838192,-4.278980554,-2.828298547,-2.460692116,-2.052542314,-4.055224168,-3.114016254,-2.22095921,-2.986008418,-3.305033759,-2.185893178,-1.485165111,-0.838437005,1.095330578,3.403878523,1.85764625,0.722204711,-8.721322889,-6.95330709,-5.310212075,-4.645835724,-3.577202647,-3.190439943,-2.799022681,-2.549819896,-2.601927735,-2.511292268,-2.614198933
Marshall Islands,MHL,,,,,,,,7.907674034,13.53412121,9.00717919,7.835943031,7.832264596,5.120072437,10.54311415,-1.597684517,-22.28295781,0.235352479,0.265635179,3.684396927,1.512126351,3.512922591,2.133226354,-0.762325358,-0.230744527,3.195377616,2.812386676,3.875772667,4.375937549,2.552599531,-1.80414,2.538708164,0.18113293,0.681498449,1.140839119,3.611397203,1.673571762,-5.278779461,0.678026171,0.597036871,0.065917278,0.022287246
Mauritania,MRT,,,,,,,,,,,,,,,-3.055823926,-3.157998999,2.049594643,-1.381907798,-3.321092557,-3.591920274,-0.450843019,0.074445315,1.665969653,-0.661569499,-2.639528711,-2.442532221,0.132042365,0.530741098,3.226516929,2.647817879,2.783716247,2.598285026,-3.094886194,-2.448722225,-1.353341999,-0.46096468,-0.98883931,-1.07425371,-1.042176781,-1.201622087,-1.513998741
Mauritius,MUS,,,,,,,,,,,-4.398094353,-5.528946269,-5.182006036,-4.816056183,-4.341943554,-4.441795662,-4.143940733,-3.087371608,-2.662217861,-3.407317218,-3.066098564,-3.087805075,-1.784643381,-3.397712308,-3.132256445,-3.586653612,-2.812206783,-1.659895826,-2.187594366,-7.533572411,-10.6242362,-4.449214753,-3.340420399,-4.703436564,-7.468445111,-2.647069177,-1.339587603,0.660375923,0.869236061,1.45712791,1.584817431
Mexico,MEX,-3.11079756,1.491744774,2.259255307,-1.514245784,-2.254819335,-2.277885392,-3.655445427,-3.476322636,-4.491422721,-4.489359476,-2.685229686,-2.572843134,-2.181311588,-2.244053271,-1.346255606,-1.433870678,-1.225888789,-1.458330689,-0.681300508,-3.935327101,-3.803803612,-3.204127715,-3.565958129,-3.559062112,-4.371295225,-3.858790733,-2.681409152,-1.034047855,-2.138586468,-2.265984258,-4.290094357,-3.746692439,-4.322423232,-4.288418377,-5.726491101,-4.32282578,-4.144579367,-3.499999986,-2.999999987,-2.999999988,-2.999999988
"Micronesia, Fed. States of",FSM,,,,,,-0.450697254,2.337446985,2.620992234,-3.269399103,-5.17549042,-3.48475392,-5.463055829,7.204700501,2.617586639,-15.55235146,-5.631441489,-5.444946326,-3.548325942,-1.553448646,1.881007369,0.465161675,-0.580232489,0.894619353,2.894272815,11.23192217,10.48219395,7.370217167,14.47746984,24.67646082,19.53915988,6.423124409,4.442723573,17.43001705,9.452779556,9.190600358,6.542286017,1.485213447,1.125769048,0.825450313,0.093036676,-0.279244298
Moldova,MDA,,,,,,-2.583014839,-7.42327153,-7.470582793,-1.521632104,-2.639090816,-3.546063797,-0.344750246,-1.178997491,0.469967723,0.592848783,1.440722637,-0.418723607,0.148232521,-0.870607993,-6.382820742,-2.178254279,-2.049645065,-1.930739998,-1.565176163,-1.603237143,-1.92973698,-1.564111343,-0.650370778,-0.853156452,-1.465507184,-5.316879851,-2.617000941,-3.239740156,-5.129827988,-3.884449187,-3.574668718,-4.411360879,-5.534091626,-5.355407916,-4.407782965,-3.481951302
Mongolia,MNG,-9.366584098,-6.365786559,-8.102580371,-13.34168368,-9.736635528,-4.967950528,-6.882958371,-8.093351526,-12.33694186,-9.907976469,-5.821111521,-4.327369882,-4.735704319,-3.382272171,-1.617960767,2.434672767,7.584876247,2.638636445,-4.521413161,-5.198800741,0.42542746,-4.013807892,-6.243683982,-0.927077628,-3.725394185,-5.042965864,-15.29496044,-3.716047369,2.85428534,1.002708299,-9.240418933,-3.045435985,0.672012647,2.732991503,1.393856376,-0.687281059,-1.005136989,-1.987290701,-2.521562602,-2.585406106,-2.622602232
Montenegro,MNE,,,,,,,,,,,,,-1.441459044,-4.056102467,-2.453718977,-1.416533976,4.337780511,8.437487197,-2.298067351,-6.739401157,-4.876584351,-6.789654633,-5.865694648,-4.535129435,-0.700293664,-6.025747375,-6.205640825,-6.886619436,-6.297217164,-1.735963882,-11.00505303,-1.71873618,-4.068331108,0.854505634,-2.808491849,-3.532285629,-3.512894054,-3.785442518,-4.126216701,-4.27178292,-4.300824253
Montserrat,MSR,,,,,,,,,,,4.936108821,20.08864152,5.541608554,17.3616716,1.678653394,-13.64112155,-2.838050811,-4.915577779,-8.693844119,3.652515743,2.221777422,7.651607652,-6.952845147,-17.32123596,-28.7665886,-3.145945293,-7.739115023,-10.40241573,-9.067891421,-12.59873618,-3.950357361,1.239040269,3.936241095,4.298848369,3.269148256,3.122660244,-0.507679994,-0.549125655,-0.339509498,-0.239328187,-0.070632853
Morocco,MAR,-1.324269609,-0.896333406,-1.844340713,-2.001067286,-2.511106856,-2.539229656,0.867535045,1.498731493,1.470155454,3.205616955,-1.973310536,-3.789964366,-4.368704042,-3.744922526,-3.313372105,-5.455136196,-1.800354775,-0.116219776,0.625906236,-1.629220185,-3.932269612,-6.075340113,-6.63175957,-4.701752725,-4.779650388,-4.593074248,-4.485540003,-3.303487264,-3.521499083,-3.803636045,-7.147087456,-5.924410513,-5.365621281,-4.406239629,-3.922221571,-3.798975442,-3.368138367,-3.248118544,-3.072717022,-3.024815679,-2.966637
Mozambique,MOZ,-4.416018221,-2.007233273,-1.850392162,-2.53023944,-4.001142025,-2.456643627,-2.072995716,-1.808869968,-1.075091403,-0.313918849,-1.259799796,-4.434345313,-3.364414962,-2.635508905,-3.1679139,-2.058618629,-3.033675574,-2.190821438,-1.897673569,-4.346340345,-3.497567547,-4.335946649,-3.44974235,-2.463468639,-9.753243982,-6.55466466,-5.422633594,-2.903489993,-7.387544362,1.704169217,-6.192313799,-5.232565009,-5.21898358,-4.257839904,-6.1699838,-5.316848046,-4.219287253,-3.700550875,-3.36296728,-1.675422967,-0.326486665
Myanmar,MMR,,,,,,,,,-4.894011977,-4.461916012,-6.026425025,-6.337509423,-4.00782118,-4.23911423,-4.616581591,-3.485622649,-3.422090403,-3.518299791,-2.726120819,-3.550824502,-5.397673302,-4.821294182,-2.69673178,-1.531595344,-1.064571019,-4.325685259,-2.525153792,-3.423850899,-2.766848308,-4.695091259,-6.501569891,-2.469629966,-2.816957834,-5.17792048,-5.060892624,-6.851480038,-6.36387947,-5.959532778,-5.44748677,-4.783023309,-4.637356187
Namibia,NAM,1.075115877,-1.586913078,-2.54625153,-2.725765976,-0.568459734,-1.744218339,-3.702327306,-2.380530732,-2.759241798,-1.878563588,-0.788247522,-2.014083702,-1.378490339,-4.474067409,-2.671548153,-0.309143184,3.409772841,6.006546384,3.480378127,-0.404866804,-4.980934531,-7.086965568,-3.101709707,-4.689866598,-6.443662373,-8.301099948,-9.303132158,-4.993985841,-5.094105573,-5.49147512,-8.070297896,-8.682144727,-6.330473732,-3.144212746,-3.588619439,-5.366148758,-5.14879004,-4.414606799,-3.977999738,-3.749008018,-3.605193872
Nauru,NRU,,,,,,,,,,,,,,,,,,,,0.367481421,0.092715545,2.733101584,8.115583372,1.710948037,29.56187056,10.74096848,18.88952274,16.169629,29.55903895,30.98798162,42.80929878,44.48630977,24.26620869,19.3868686,29.77872697,3.590743566,9.515771564,10.27238041,12.27551906,13.53610936,15.3169494
Nepal,NPL,,,,,,,,,,,-1.480713899,-2.353723947,-2.464240389,-0.338181944,-0.143842389,0.244951893,0.235324891,-0.671348356,-0.290919442,-2.237437513,-0.671926368,-0.716738481,-1.178654198,1.573454139,1.3573214,0.460340273,1.197853938,-2.689062614,-5.83336515,-4.269812351,-7.4682986,-3.979370493,-3.123086671,-5.814358674,-2.763109178,-1.822785316,-3.659686692,-3.457646722,-3.414638073,-3.218816463,-3.220683263
Netherlands,NLD,-4.077339828,-2.052740101,-3.122162627,-3.134699277,-3.534702697,-8.72369952,-1.906168549,-1.601471623,-1.335227776,0.28276087,1.135803234,-0.467759002,-2.230061185,-3.19187572,-1.824961012,-0.514714656,0.041025187,-0.162498495,-0.057577242,-5.060356442,-5.30479517,-4.421558719,-3.833602742,-2.872438087,-2.173064143,-1.835162871,0.225223036,1.354178736,1.494780083,1.908487563,-3.71688613,-2.259547978,0.002213681,-0.371095852,-0.944889747,-2.110742796,-2.790349091,-2.196705239,-2.24277926,-2.552199464,-2.644517221
New Zealand,NZL,-2.735707563,-6.143805989,-6.269678167,-1.526026613,1.992339684,3.696888829,2.575072047,1.234994782,-0.479000812,-1.114603155,0.169668419,1.285643533,2.550391528,3.68316338,4.492185632,5.129770915,4.618989805,3.596521813,1.469392288,-1.812449315,-5.511341421,-4.960457379,-2.191216644,-1.28714563,-0.33556351,0.364909913,0.977384751,1.35669594,1.269958736,-2.496273868,-4.345671618,-3.49961369,-4.157521707,-3.537597075,-3.606305289,-4.061519693,-3.581656143,-2.522388685,-1.465742233,-0.468627216,-0.008116848
Nicaragua,NIC,,,,,,,,,,,2.153925777,0.340528837,2.068782853,1.296053106,1.694838845,1.715671021,1.362800072,1.87943457,0.266870395,-0.895869184,0.691680652,0.591022405,0.223491733,-0.299480374,-0.892552746,-1.636672471,-1.92384399,-1.754645501,-4.345981954,-1.121797424,-2.570156526,-1.256921178,0.647171232,2.308007839,2.481221578,2.048498518,2.150363562,1.974760403,1.950615887,1.925997265,1.958632952
Niger,NER,,,,,,-3.187751328,-0.360475054,-2.387364613,-2.231274026,-4.274022437,-2.828269088,-2.587942768,-2.213222471,-2.174764882,-2.7635914,-1.527615981,31.04509167,-0.746668268,1.11080167,-3.926786258,-0.985197804,-2.193744972,-0.830159875,-1.932357667,-6.124642974,-6.746851709,-4.463526077,-4.116706327,-3.007968636,-3.558157224,-4.816395434,-6.099210189,-6.772006034,-5.373899129,-4.266858447,-2.96950774,-2.972356872,-2.980962852,-3.005027505,-3.015793353,-3.016871752
Nigeria,NGA,-0.476616914,-1.180708781,0.94196012,-6.074925386,-2.958087593,2.52115571,3.371808554,1.135629394,-3.47391552,-1.390736738,2.886684139,-2.288006461,0.953322231,-1.558825203,3.897397888,3.485049502,6.219989266,-0.792768942,4.045483678,-3.782067755,-2.962257949,0.306727523,-0.091333918,-1.890382523,-1.724757591,-2.697482453,-3.297710617,-3.845232043,-3.064162774,-3.30696946,-4.025677475,-3.966848757,-4.001404047,-3.124713648,-1.567024778,-2.931421253,-3.733301709,-2.847566454,-2.972247362,-3.273107192,-3.245548571
North Macedonia ,MKD,,,,,,,,-0.35944607,-1.627108937,0.027719895,2.374911692,-5.882148174,-5.241777265,-0.07222778,0.374057385,0.213175372,-0.507712308,0.577298374,-0.928438863,-2.627694623,-2.410718573,-2.473792833,-3.80691789,-3.8360919,-4.194977172,-3.475241254,-2.701775741,-2.733511728,-1.755243411,-1.967855426,-8.048362492,-5.316789226,-5.229584556,-4.614272363,-4.446809744,-5.038773584,-4.468186556,-3.969068392,-3.530851192,-3.030851192,-2.530851192
Norway,NOR,1.954299025,-0.118882445,-2.065565195,-1.643094446,0.041252456,2.961094771,6.007766543,7.352170523,3.065583718,5.714814956,15.04639753,13.17315468,9.026912467,7.204570671,10.8347692,14.72085158,17.88147813,17.03772688,18.53090034,10.19452296,10.87143345,13.27289764,13.67953892,10.60839682,8.571983413,5.987477409,4.036251197,4.957444894,7.813719303,6.522494,-2.55949965,10.28577693,25.4528725,16.5709737,13.24592068,12.7362218,10.68979003,10.04928437,9.646915767,9.242798559,8.766979936
Oman,OMN,4.776741912,0.116251674,-4.850235267,-6.836058055,-7.465259789,-3.899660921,2.218175207,4.772836992,-4.370520118,0.303150385,12.16018858,7.545100949,5.3136,5.919615812,5.430009892,11.20937704,12.2264204,10.48921109,14.65579961,-0.270653359,4.945638423,8.238659074,4.073352343,2.777717489,-1.576854715,-13.47358692,-19.62238117,-10.45923864,-6.719240597,-4.830049321,-15.67329272,-3.17310357,10.53089056,6.867295086,3.307863707,0.411631291,1.003216859,2.251673177,3.390156809,3.912104683,4.26753939
Pakistan,PAK,,,,-5.52614301,-3.626948966,-3.897553215,-4.333351407,-3.865333416,-4.462247486,-3.068712985,-3.212219708,-2.454799642,-2.636947177,-0.117873661,-1.291344694,-2.287291954,-2.786273318,-4.234394013,-5.937865621,-4.530808398,-5.415242806,-6.233850944,-7.743195135,-7.481025306,-4.36889549,-4.738768443,-3.923260741,-5.171266447,-5.673293644,-7.789131389,-7.031588643,-6.041185628,-7.8382843,-7.756329111,-6.80515898,-5.335298296,-4.131818673,-3.850714507,-3.275223652,-3.077500991,-2.828901179
Palau,PLW,,,,,,,,,,,-13.42634237,-16.68387437,-12.69910927,-3.184219554,-4.815785943,1.381904552,0.143057548,-2.078390241,-1.70573744,-2.136228852,-1.273854562,1.286511301,0.98288893,0.544519957,3.593044358,5.078833342,3.515458833,4.75562147,6.184754351,-0.359805855,-13.02206541,-9.940420967,-3.989561395,0.729656332,1.673735405,1.468192636,1.474163647,1.611248855,1.708012483,1.801401438,0.977123822
Panama,PAN,,,,,2.122171292,2.30478135,2.482399636,1.24491551,-1.114185836,-0.648229936,2.048039217,-0.416763899,-0.962918567,-2.271912895,-4.330992579,-2.211342406,0.514152672,3.121214167,0.374989672,-0.900989021,-1.676460991,-1.955150205,-1.313576576,-2.381736693,-3.213105972,-2.29670479,-1.887181771,-1.922792313,-2.879684594,-2.89241749,-10.20245427,-6.476903811,-3.981077233,-3.902295847,-7.415283621,-3.988766153,-3.488900121,-2.990578857,-2.49448546,-1.992405126,-1.49986146
Papua New Guinea,PNG,-2.035210175,-0.622997313,-4.332955731,-4.904576711,-1.00921829,1.077478842,2.05453547,0.672905271,-0.164736521,-1.936498923,0.303521225,-1.329111155,-1.749991285,0.187883002,2.025059805,2.849152348,5.337371913,6.899333849,2.734141083,-5.482534833,3.062360766,2.215389454,-1.189962176,-6.869731618,-6.265024183,-4.549721477,-4.74622004,-2.47470941,-2.579697116,-4.97580699,-8.85232886,-6.843405043,-5.253026007,-4.343411766,-3.234490139,-2.606574997,-1.156588072,0.032914402,0.092865985,0.305820606,0.397995027
Paraguay,PRY,7.561187677,3.408315707,3.098521295,4.266739858,4.587259237,2.780094568,2.431676508,3.004780073,4.278538704,2.670759856,-0.547277172,0.073858843,-1.893199073,-0.067038393,1.334800447,0.738207669,0.911307208,1.274497817,2.292417633,0.587636958,1.538393635,1.285161843,-0.582568344,-1.157135806,-0.27114559,-0.436755125,-0.373711497,-0.438696526,-1.01429854,-2.441812917,-5.719285906,-3.392357272,-2.63826467,-3.809461888,-2.118085572,-1.66278392,-1.321755344,-1.290882601,-1.266582198,-1.269721644,-1.285564284
Peru,PER,,,,,,,,,,,-2.115749849,-2.153764492,-1.403800951,-1.622006561,-1.032734878,-0.435681849,2.02912779,3.348358349,2.48452131,-1.478942573,-0.01549982,2.051142506,2.073055889,0.754212155,-0.188399429,-2.019615117,-2.118060915,-2.78860964,-1.944370943,-1.367850796,-8.161666028,-2.490619903,-1.38248978,-2.778845591,-3.538906226,-2.421016319,-2.172931965,-1.786739595,-1.531831823,-1.310756735,-1.149378519
Philippines,PHL,-1.521887672,-0.261848909,-0.434115567,0.628617553,-0.444680686,-0.016032423,0.537036155,0.367057702,-1.308515891,-2.287514488,-3.273769477,-3.494121809,-3.706824254,-3.491060452,-2.807019248,-1.624638178,-0.046357841,-0.284924301,0.016475724,-2.568889507,-2.253638815,-0.37959865,-0.219991238,0.368834324,1.321398645,0.143900893,-0.744592568,-0.751801013,-1.483943869,-1.503420871,-5.545645864,-6.232859277,-5.480898687,-4.376690764,-3.782174184,-3.572102447,-3.137321858,-2.64950206,-2.115904877,-1.827568087,-1.785312882
Poland,POL,,,,,,-4.391947195,-4.840286142,-4.607526414,-4.254031822,-2.299628717,-3.997902784,-4.729257788,-4.80248407,-6.017731265,-4.987628279,-3.925860353,-3.527034546,-1.879278942,-3.595358501,-7.236312593,-7.429752694,-4.974457385,-3.795364687,-4.246084991,-3.662159357,-2.594525245,-2.383137647,-1.485895687,-0.244846937,-0.733609435,-6.85317269,-1.745282335,-3.437283436,-5.272754413,-6.585973123,-6.992218918,-6.696624795,-6.368754335,-5.838816701,-5.508928566,-5.019385555
Portugal,PRT,-6.824279976,-7.930080965,-5.194263088,-8.058312175,-7.3687551,-5.143257496,-4.63208573,-3.653751702,-4.304319401,-2.987389144,-3.353591689,-4.734390179,-3.734860846,-5.659032997,-5.988441915,-6.105571838,-4.072811686,-2.91091579,-3.810884029,-9.873814607,-11.41891156,-7.728313461,-6.203441702,-5.21369194,-7.316146284,-4.373558331,-1.94424533,-3.001701711,-0.425322053,0.116555605,-5.752295148,-2.825486377,-0.310710367,1.211541218,0.699206047,0.152431803,0.035959737,-0.227879533,-0.547881637,-0.682767077,-0.910479876
Puerto Rico,PRI,,,,,,,,,,,,,,,,,,,,,,,,,-3.072553487,-2.116274048,-1.842948011,-1.109352917,0.024762773,1.898673972,-0.550755835,-0.257454433,1.789295323,0.326927138,-0.53797833,-0.418029082,-0.390891858,-0.351401283,-0.551025295,-0.165640699,-0.153292024
Qatar,QAT,3.226321144,-2.569254883,-2.736188336,-9.527796864,-11.80037732,-5.778996823,-8.728482968,-9.403828544,-7.00064473,-4.352842522,4.621880259,4.480566346,7.890903742,6.710575951,17.69105557,9.80339101,8.394930592,10.3433409,9.488777146,14.12935262,4.60012015,5.235655033,8.553778706,19.2700095,13.35241881,18.44707193,-9.203067146,-6.820077046,2.259720286,0.998713367,-2.133519056,0.243188505,10.39006768,5.559968931,0.694637751,-0.322575157,1.307551035,2.508854277,2.941878244,2.594904314,2.812694475
Romania,ROU,1.027002958,3.229649265,-4.552457333,-0.34982198,-2.19957437,-3.320022929,-4.738327069,-5.187122268,-5.329424962,-3.578793464,-3.988470827,-3.201223514,-2.594812818,-2.286232983,-3.393431562,-0.690414795,-1.359979181,-3.046269936,-4.604771045,-6.857780349,-6.21977908,-4.135324638,-2.385104465,-2.44267622,-1.758976868,-1.347543187,-2.496504844,-2.8561795,-2.737621763,-4.551950663,-9.542101776,-6.700746198,-5.832560206,-5.609264722,-8.676531534,-8.155980255,-5.822842629,-5.690423815,-5.583590689,-5.487339652,-5.038099877
