Net lending/borrowing (also referred as overall balance) (% of GDP),Country code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Russian Federation,RUS,,,,,,,,,-7.42350776,-3.586600528,3.107075867,2.991244534,0.672593623,1.350124439,4.57475069,7.596959645,7.803539032,5.585366969,4.5494902,-5.888910069,-3.193876296,1.431818841,0.382340506,-1.162177861,-1.069955791,-3.386425437,-3.670032607,-1.46892589,2.923324627,1.929614826,-3.988749571,0.776242602,-1.342936484,-2.216502619,-1.603458731,-2.737439613,-1.754019853,-1.896336352,-2.02941973,-2.089449468,-2.085486676
Rwanda,RWA,,,-7.207319365,-6.602173275,-9.544827553,-2.040704146,-5.005908368,-2.22081567,-2.590581148,-4.413148341,-0.218411963,-1.801320321,-2.031721925,-1.232678261,2.274462099,1.123645903,-0.02899684,-1.555002201,0.82537213,0.259063566,-0.638515822,-0.86029112,-2.380764999,-1.26931866,-3.915619119,-2.680722157,-2.269762306,-2.516651162,-2.572852242,-5.077471279,-9.543032551,-6.99963074,-5.735198628,-5.039790314,-6.567761911,-6.290441841,-3.304967997,-3.163292609,-2.936663828,-2.741277736,-2.345711082
Saint Kitts and Nevis,KNA,0.620165299,0.918720965,0.49834063,0.24355391,0.790797994,0.898569134,-2.266621331,-2.332756859,-5.127970127,-11.11867725,-13.3344475,-10.86559088,-11.71321964,-5.65677716,-6.597864011,-3.449348423,-1.367790783,-1.029900111,-1.569409807,-1.226578359,-4.145427925,1.597049285,4.318755137,10.93001933,8.515988499,5.658022151,3.765319461,1.681360678,1.795936381,-0.701462205,-3.056838948,5.40643374,-4.159176494,-0.274996011,-10.99299746,-12.15255338,-8.192027042,-6.889189246,-7.002595237,-7.110632499,-7.208357282
Saint Lucia,LCA,0.292454413,-0.429524538,-0.662484852,-0.256562828,-0.018287029,-0.133860389,-0.576075342,-1.125744878,2.247129974,1.617414428,-1.158322319,-3.078445985,-3.099702843,-3.233609237,-2.62638769,-6.179888037,-5.068364823,-1.620745919,-0.716642608,-2.666089405,-4.165503612,-5.375558316,-7.62011242,-4.83895986,-3.082604971,-2.35277613,-0.790604983,-1.139071015,-1.030569353,-3.510395933,-12.04356927,-5.095747217,-1.671878456,-3.090804855,-2.127524818,-2.836409913,-2.67736675,-2.794162611,-2.616502725,-2.407595531,-2.182598066
Saint Vincent and the Grenadines,VCT,1.685183909,-0.472014272,-3.247156815,-1.460756587,0.121210531,1.083458736,1.565794111,-2.769091846,-1.805030712,-1.926016464,-0.816656004,-1.598387396,-1.999601923,-2.508974994,-2.710929672,-4.301870342,-3.125283313,-3.071484504,-1.295417638,-2.851010503,-3.696104868,-3.499053823,-1.808104488,-5.811421882,-2.819891817,-2.013364387,0.039582208,-1.561980605,-1.64583034,-3.452090113,-5.922676517,-7.18963309,-9.34786017,-11.96240852,-12.89889052,-7.573500444,-0.513671667,0.677556048,0.837632533,0.947412768,1.125750327
Samoa,WSM,,,-9.886471171,-13.16893174,-9.50510721,-5.824336068,1.213302525,1.92116302,1.636844336,0.273706649,-0.615865674,-1.957433036,-1.769534564,-0.511825802,-0.743014104,0.23099367,-0.443980795,0.54579857,-0.355701697,-2.982327154,-5.486400401,-5.249944525,-7.430189915,-3.816505606,-5.376180661,-3.787033132,-0.346326636,-1.976751079,0.056895273,1.507025561,5.407900346,1.712505062,5.027608207,2.70124844,9.288444669,4.995474185,-0.076626149,-1.459780717,-1.874065649,-2.025747447,-2.108812037
San Marino,SMR,,,,,,,,,,,,,,,2.444832111,3.583093556,1.506742088,1.825315798,0.176208428,-2.460579123,-2.238409212,-4.049455372,-7.079258601,-7.740702798,1.064454676,-3.323752453,-0.185220061,-3.48601902,-1.555799792,-0.10801267,-37.59204728,-16.4177826,0.423721169,-0.724413347,-0.531246868,-1.676607469,-1.205558522,-1.147883712,-0.444462217,-0.402241355,-0.369774388
Saudi Arabia,SAU,,-3.28123883,-8.121037408,-9.32697946,-8.311637003,-5.1227695,-3.246767454,-2.50573984,-8.875210071,-5.991369289,3.184129026,-3.905913975,-5.90699022,1.198597764,9.717906462,17.98696587,20.82287453,11.78360395,29.80191737,-5.383452778,4.391633324,11.3940649,11.67990995,5.469234732,-3.4033895,-14.94431809,-13.19493436,-8.572470804,-5.207852701,-3.964655154,-10.22009553,-1.993157355,2.240179594,-1.770556965,-2.488305686,-3.651166865,-3.661319203,-3.824025133,-3.682366514,-3.416027231,-3.366431252
Senegal,SEN,,,,,5.903216209,2.407289396,0.921537013,0.980116506,0.92713551,-0.615476591,0.781855161,-1.44136481,0.190711366,-0.51617328,0.184422381,-0.263032543,-3.66518227,-2.797821263,-3.53109852,-3.66282914,-3.937663912,-4.924469194,-4.184508792,-4.335438181,-3.896273247,-3.663397441,-3.27210404,-2.968032331,-3.662685396,-13.93179748,-9.63521397,-13.67320438,-16.12998824,-14.76574231,-13.41611559,-7.927356003,-4.974165547,-3.029855014,-2.953276939,-3.011908369,-2.988263535
Serbia,SRB,,,,,,,,,,,-0.148284084,0.324940663,-2.328098873,-2.385020629,0.061060156,1.020528021,-0.904996479,-0.802001532,-4.254524785,-3.302086992,-3.34748568,-3.753204233,-6.106684639,-4.788612802,-5.608373833,-3.245169055,-1.078446556,1.316311075,0.77817629,-0.00436356,-6.91310624,-3.155648075,-0.141169361,-1.210713139,-1.753387751,-2.734359206,-2.780157412,-2.801089613,-2.322879873,-2.304848253,-1.80675734
Seychelles,SYC,11.91093488,3.151355992,6.442463533,-3.623472878,-6.946631292,-2.579666956,-9.692399408,-5.90575523,-16.66999719,-10.26410073,-14.74018922,-8.926857033,-16.26043339,3.396319127,0.437431056,0.421896442,-2.537627704,-9.929429303,7.881928947,4.838695709,0.521485308,3.359832523,2.934039855,0.328581134,2.873686302,1.388983456,0.017620185,-1.670743939,-0.802049797,0.423186035,-15.74602236,-5.755163912,-0.758028391,-1.144792887,-0.693330644,-2.099479531,-2.190612773,-1.43499078,-0.859617531,-0.314242976,-0.276323445
Sierra Leone,SLE,,,,,,,,,,,-1.943448422,-3.219312327,-3.027523058,-2.782891779,-1.45591511,-1.166853854,-0.930303628,12.56829108,-2.217025913,-1.509519662,-3.08963348,-2.784709239,-3.412526878,-1.744257521,-2.768457592,-2.864960889,-5.413617458,-5.610760125,-3.573307662,-1.952509246,-3.49832354,-4.349071978,-5.929253326,-4.988716551,-4.52876048,-4.449903796,-2.127429333,-0.430270822,0.339371182,-0.663373805,-0.925623513
Singapore,SGP,1.965814016,0.681668507,2.701406574,4.356950718,7.904685911,4.803523194,1.982856985,5.663036098,2.413933157,5.203832731,4.592846764,1.196592559,2.232090069,0.678051636,2.059766049,2.555514611,2.159889319,7.120218448,3.589224189,-0.093743484,5.684105968,7.961742097,7.335980767,5.962658223,4.599607634,2.859540169,3.254878476,5.243519205,3.680385094,3.768767516,-6.733980862,1.125581012,1.208273272,3.467975328,4.439322212,3.108096483,2.709255967,2.359255967,2.126330484,1.910479518,1.944628552
Slovak Republic,SVK,,,,,,-3.428234754,-9.720830093,-6.235149562,-5.368771855,-7.251993765,-12.68999747,-7.743249979,-8.353142557,-2.281440787,-2.35928943,-2.857034882,-3.570072228,-2.258288145,-2.540820286,-8.184503366,-7.444424721,-4.355613756,-4.366213421,-2.861230904,-3.245069701,-2.782042445,-2.593553667,-0.984695205,-1.005916308,-1.205001502,-5.295979881,-5.090181344,-1.156879016,-5.151878476,-5.272872813,-5.19697197,-5.364787123,-5.523499683,-5.523146023,-5.630030602,-5.788904623
Slovenia,SVN,,,,,,-8.192969499,-1.155003636,-2.36837472,-2.394024571,-3.043255158,-3.772174739,-4.579799022,-2.474154156,-2.663902933,-1.980970719,-1.378620826,-1.258052559,-0.077282186,-1.44056637,-5.871845896,-5.5557713,-6.685842609,-4.197185921,-11.22712,-4.526319461,-2.837332668,-1.9990903,0.05372371,0.896345112,0.68069731,-7.67672186,-4.610396599,-3.015034739,-2.586260734,-0.933873841,-2.449409086,-2.619234776,-2.615004001,-2.698691121,-2.816222725,-2.836110719
Solomon Islands,SLB,0.580741739,0.13726557,4.128565797,2.452464347,4.328981603,3.191227461,3.731854671,2.136328644,5.039666907,-0.322124676,-2.929148373,-2.396105951,-4.349629168,10.56075525,17.03199937,13.38959663,12.95977764,15.31126839,1.937954879,2.350781773,6.016513718,6.224762411,4.633308417,3.571077349,2.127022519,0.80841269,-3.558216751,-2.271493855,1.487511066,-1.524066438,-2.437889085,-1.858640077,-2.508051961,-3.8054846,-3.083087902,-3.147169035,-3.123714848,-2.992573398,-2.966105673,-2.966582426,-2.801062173
South Africa,ZAF,,,,,,,,,,,-1.382775207,-1.015463634,-0.958147438,-1.588173289,-1.043936763,-0.101506693,0.81330275,1.215315217,-0.487939599,-4.667333421,-4.514150986,-3.70427488,-4.039474293,-3.904195734,-3.926334406,-4.373992975,-3.724992713,-4.015834084,-3.732260086,-5.072103146,-9.621384498,-5.540229696,-4.249858778,-5.545419797,-5.789946435,-5.98576759,-5.647189592,-5.326930519,-4.997223976,-4.78406594,-4.679764162
"South Sudan, Republic of",SSD,,,,,,,,,,,,,,,,,,,,,,4.570495659,-14.80985657,-3.449580019,-9.066028704,-16.41599115,-19.83534149,9.564792684,-1.060084425,0.041914973,-5.499090264,-9.298136845,4.476677187,8.035439711,11.68280921,6.638867915,4.127910702,3.278546137,2.613020118,2.528820343,2.76207763
Spain,ESP,-3.900306576,-4.578932272,-4.264600577,-6.889781468,-6.314959674,-6.793348962,-5.86588294,-3.859175175,-2.626903713,-1.240167864,-1.161266213,-0.454948799,-0.316641414,-0.374867787,-0.095109754,1.230549432,2.121642706,1.882712584,-4.560368634,-11.23738339,-9.487394919,-9.694672917,-11.49653849,-7.49162484,-6.073156623,-5.264866913,-4.264862636,-3.096346742,-2.575651089,-3.040256519,-10.02458347,-6.658335181,-4.632437968,-3.516515652,-3.147842667,-2.723404036,-2.465582431,-2.393483337,-2.259927789,-2.121047187,-2.01676991
Sri Lanka,LKA,-6.388579983,-7.972537516,-4.951440056,-5.774540619,-7.405552746,-7.110119594,-6.892287398,-5.710359367,-6.785599896,-5.583949333,-7.777838189,-8.480272856,-6.904441726,-6.152273326,-6.322859786,-5.933252353,-5.913277332,-5.808207168,-5.930205426,-8.327736252,-6.727562636,-6.00943299,-5.439399571,-5.004734167,-5.991644604,-6.638963111,-4.997481459,-5.098197934,-4.955525473,-7.519227906,-13.35806409,-11.68346976,-10.22295827,-8.323425852,-5.637913573,-5.390771766,-4.432600139,-3.834005935,-3.791124695,-3.649617988,-3.463378508
Sudan,SDN,-16.20748934,-26.47715974,-24.51715076,-8.042200486,-3.032347236,-3.480034403,-2.610483092,-0.590306825,-0.561008989,-0.799562008,-0.69807111,-0.766880761,-0.685290221,0.768410924,0.156031096,-1.875672021,-1.323350301,-2.841968725,0.491470457,-3.795780858,0.110568158,-2.326906372,-7.368441602,-5.760755101,-4.71845162,-3.86940297,-3.918356725,-6.069399218,-7.922167069,-10.77930972,-6.032443145,-0.287211987,-2.146552543,-3.695228792,-3.456607356,-3.044288161,-4.081171284,-4.335395547,-3.692699153,-3.444966912,-2.779108345
Suriname,SUR,-3.043823914,-9.801106895,-6.452081347,-4.675065383,-1.893992335,1.165631943,3.419868305,-0.322631305,-6.389521271,-4.917722466,-7.758033028,3.489686295,-3.295620289,-0.113881593,-1.202372045,-3.390685089,0.592483553,5.014070644,2.393437521,2.02798447,-0.15373883,2.318833322,-0.38007442,-2.641532583,-2.650377239,-8.291188987,-10.18651546,-8.620020619,-8.558792698,-20.22534211,-11.9544351,-5.660415335,-2.689104169,-1.679231586,-2.423707246,-9.623506451,-1.74818739,-0.828731976,1.98054079,6.09322304,6.056980505
Sweden,SWE,3.698928352,0.284277795,-8.512939614,-10.87513707,-8.774570926,-7.008999182,-3.10734319,-1.570218436,0.821768197,0.59769833,3.107596185,1.374250235,-1.456003952,-1.245164562,0.16617209,2.082451496,2.195028771,3.36797866,1.872918001,-0.889133564,-0.143713357,-0.407496511,-1.191409842,-1.629997141,-1.840720182,-0.271594749,0.861864674,1.289388636,0.672563756,0.440197539,-3.18014385,-0.148548478,1.002782642,-0.630275458,-1.719688325,-1.372343803,-1.753150858,-0.661149429,-0.228535432,-0.003400896,-0.003400896
Switzerland,CHE,-0.045809998,-1.846826717,-2.960800333,-3.14507495,-2.592937988,-1.857806569,-2.013778022,-2.332821588,-1.306188643,-1.572238111,0.281890822,0.207438218,-1.745291254,-1.358869469,-1.392803257,-0.645877741,0.846042228,1.574920462,1.934696936,0.497878965,0.354219726,0.683439842,0.235190813,-0.432230521,-0.247065884,0.545755035,0.238257673,1.129913788,1.289900269,1.341030758,-3.014201769,-0.289472148,1.191151663,0.122386278,0.576702368,0.2605498,0.059966985,0.15667079,0.15667079,0.062634709,0.062634709
Syria,SYR,-3.923943039,-6.567016085,-7.25829454,-4.963082017,-5.998987027,-3.808117693,-2.825765679,-1.780653434,-2.811584375,-1.473582943,-1.360531289,2.304742257,-2.022616818,-2.703965785,-4.181969877,-4.408340193,-1.12049164,-2.987197817,-2.864384033,-2.891807655,-7.790031102,,,,,,,,,,,,,,,,,,,,
São Tomé and Príncipe,STP,,,,,,,,,,,51.51664024,-13.51966269,-10.42332873,-15.92586519,-25.11516189,26.81209964,17.99199568,125.1352834,13.648089,-18.02415674,-12.11945144,-13.02458049,-12.25689863,2.134129389,-6.274228312,-7.600221303,-5.00639591,-3.107337201,-2.02311784,-0.066199291,2.939859296,-1.515512048,-2.240516525,-2.131129189,0.920807819,1.079278773,2.304417164,3.652945493,3.474951814,3.284071217,3.632290821
Taiwan Province of China,TWN,-3.991644659,-9.241877841,-6.788042515,-6.049668557,-6.197684779,-6.756486118,-7.134904987,-7.473442063,-5.235738763,-2.348050565,-5.330334519,-5.587762146,-5.241701446,-4.333123343,-4.622086724,-2.497317357,-2.17880819,-2.222664259,-2.736624735,-6.196160373,-5.092248799,-4.033822232,-4.313609597,-3.242385489,-2.724889841,-1.782374009,-2.192672211,-2.021832993,-1.865928747,-1.776367311,-2.910926899,-2.062641518,-1.714868066,-2.496631309,-1.450001388,-0.322584764,-0.164754538,-0.006924312,0.150905915,0.308736141,0.466566367
Tajikistan,TAJ,,,,,,,,,-5.088273215,-4.030468253,-4.513684768,-2.114907493,-2.400062594,-1.744853936,-2.316810124,-2.827392034,2.001641269,2.131381667,1.941540765,-0.201478713,-2.706824069,0.604406046,0.406559,-0.73467805,0.922460529,-1.962513979,-2.910699446,-5.646991323,-2.690380619,-2.043000273,-4.339408901,-0.640727839,-0.234156899,-0.930291228,0.276065377,-2.5,-2.5,-2.5,-2.5,-2.5,-2.5
Tanzania,TAN,,0.604511181,-4.958785044,-2.023239438,-3.737071552,-2.117470592,1.570933934,-0.026471672,0.132649965,-1.138976744,-0.730489235,-0.414088584,-0.726687209,-1.774952997,-2.433816886,-3.276093708,-3.383750057,-1.44348043,-1.91719457,-4.46352826,-4.743837971,-3.511364762,-3.996943201,-3.759214945,-2.911427175,-3.168578542,-2.083237999,-1.142497881,-2.009788417,-2.058933487,-2.557447613,-3.545681434,-3.916480607,-3.667037982,-3.025130164,-2.97828876,-3.022110553,-2.994568579,-3.009014167,-3.031384079,-3.01031927
Thailand,THA,,,,,,3.054326747,2.749301283,-1.680828895,-6.292091253,-9.017192244,-1.792068001,-1.768093556,-6.722498641,1.978324178,1.105924705,2.17304018,1.866659795,0.219944574,0.801032877,-2.213973862,-1.069704512,0.094141532,-0.860479551,0.59605713,-0.699918176,0.186615458,0.413006474,-0.41669205,0.202900347,0.426861743,-4.469134608,-6.744281061,-4.609255636,-1.975587736,-1.2935821,-2.594893131,-2.473012016,-2.445010986,-2.398383414,-2.392388839,-2.395572216
Timor-Leste,TLS,,,,,,,,,,,,3.241732881,-7.638515609,-8.238382692,-7.479046431,-10.49666494,41.03226233,-29.93206226,-18.56178697,-17.16976525,-19.79332022,-25.3799875,-38.68948785,-14.3674081,-37.52240404,-33.2048578,-55.7490649,-33.77451459,-26.90483376,-25.4385416,-18.89900899,-20.1487559,-29.4681557,-34.7274242,-43.50923043,-50.42270776,-50.11452314,-50.60695263,-51.21860229,-51.5694151,-51.84696576
Togo,TGO,-1.646280855,-3.519135946,-2.272374436,-8.459314858,-5.372335618,-2.969339462,-3.259356469,-0.9833922,-3.250921051,-1.755993404,-3.445716841,-0.715579384,-0.280209565,1.434829903,0.609986167,-1.666330644,-1.944883434,-1.832555577,-0.590603997,-2.625934222,-1.661948554,-4.475169962,-4.634768313,-5.082524637,-7.114644512,-7.03576472,-7.024795127,-0.208093757,-0.590568169,1.665950416,-7.047365603,-4.653269026,-8.334690686,-6.728267403,-7.430058775,-7.57684373,-3.029556618,-3.03545192,-2.968869714,-3.000654892,-3.023832432
Tonga,TON,,,,,,,,,,1.548138639,1.348676294,2.232545737,2.588931746,2.370098448,4.232688514,4.230460743,1.341528361,5.390819687,2.138953438,6.850237425,-1.216934643,-6.023470326,-1.737399702,-1.300861746,6.380321314,-2.748206954,1.467723192,3.578639917,2.920914885,3.277790117,5.246426273,-0.868582289,-0.100600437,6.140164063,4.170758871,5.640713376,-7.685837265,-8.332939199,-9.789974374,-11.14078264,-12.88738796
Trinidad and Tobago,TTO,-1.274291428,-0.211116292,-2.741041716,0.233218723,-0.020458499,0.165928335,-0.450796198,0.113186315,-1.802141646,-0.877424848,0.168212523,0.607141334,-0.199953929,1.802278622,1.840969077,2.362458521,1.555297653,3.118213496,5.392731932,-5.415485587,0.130910074,-0.666578192,-1.258631769,-2.667537016,-4.307717594,-7.564005444,-10.05389881,-10.38820148,-5.890929153,-3.738387955,-12.20008813,-8.102295784,0.921743344,-1.236344698,-5.236272363,-5.182733992,-5.889291889,-4.734544534,-2.626090734,-1.500331454,-1.023066008
Tunisia,TUN,,-5.253202784,-3.451425729,-3.220934886,-2.87101795,-4.527071151,-5.178711222,-3.703689392,-2.837586872,-3.052411347,-3.215021815,-2.874496552,-2.547300189,-2.644189109,-2.100083357,-2.588801834,-2.334445362,-2.466123339,-0.619393262,-2.586913004,-0.456608974,-3.193155753,-4.898624998,-7.047616831,-3.114746175,-4.948556468,-5.868946777,-5.607335273,-4.265326977,-3.602974917,-9.057182586,-7.597213176,-6.909295629,-7.027818603,-5.922326902,-5.383712826,-5.21985569,-5.563588083,-6.227431346,-6.905226041,-7.770452009
Turkmenistan,TKM,,,,,,,,-0.203837434,1.150236096,2.482144347,-0.553947361,0.773906563,0.185266575,3.987310097,1.474821343,0.864631302,5.636327785,4.192619804,10.73348163,7.53457035,2.126094398,3.837146142,7.530162895,1.53024153,0.887203459,-0.69750616,-2.381034054,-2.838440613,-0.215256356,-0.401562798,-0.157833203,0.565917884,3.376955301,0.109894109,-0.08341565,0.070122758,-0.481557217,-0.651445337,-0.823834901,-1.002973342,-1.182962773
Tuvalu,TUV,,,,,,,,,,,,,,,-3.595221733,-12.77853526,-36.81517675,-18.59260571,-17.2252159,-13.50648224,-23.35038739,-8.802231391,9.580051294,26.04382338,3.260767052,14.71538356,27.46704993,2.094625552,30.28837581,-1.072035764,13.68978844,-13.28319494,-14.59571721,15.34131016,-8.229389226,0.646086505,-2.965916894,-4.275569715,-4.949135554,-5.522772287,-6.031564324
"Türkiye, Republic of",TUR,,,,,,,,,,,-8.356130282,-11.6428166,-11.31445071,-7.552694045,-4.108608954,-0.746008737,-0.217465781,-1.367905264,-2.129896969,-5.141736642,-2.9936479,-0.351867171,-1.776907342,-1.206036312,-0.963389508,-0.511719339,-1.676602008,-1.867113926,-3.096947007,-4.690477176,-4.635632075,-2.976062111,-1.095750234,-5.215953955,-4.568663227,-3.689166594,-3.768617095,-4.036869483,-3.81850135,-3.636796729,-3.437853219
Uganda,UGA,,,,,,,,-0.82914947,-0.704580448,-1.23720658,-0.623678685,-0.993817731,-2.068174876,-0.96912042,0.342505422,-0.16996894,-0.637013441,-0.815082587,-1.994766341,-1.609836154,-4.644662136,-2.042710281,-2.385337726,-3.190482822,-2.740455131,-2.593776563,-2.640487632,-3.825702041,-3.023027894,-4.816022395,-7.760647413,-7.761677755,-5.446008355,-4.872242627,-3.992597206,-6.684746986,-5.279059934,-4.947394464,-5.079720457,-5.90720779,-5.376502786
Ukraine,UKR,,,,,,-4.72142058,-3.093274027,-5.373913832,-2.687960264,4.954458362,-3.186267271,-3.031377244,-1.84119974,-0.893075984,-4.414977932,-2.276962102,-1.364704915,-1.967389628,-3.138849767,-6.271518025,-5.772013794,-2.76155758,-4.307064511,-4.784336315,-4.459976275,-1.159825106,-2.459300115,-2.356404029,-2.123696449,-2.082171095,-5.918002884,-3.971656563,-15.60159205,-19.34125628,-17.20991163,-21.33474541,-10.13700597,-4.557823802,-3.346789062,-2.225671474,-2.011885042
United Arab Emirates,ARE,,3.890170445,3.337217598,-2.885747835,-1.783644188,3.582603649,0.916731715,6.711355502,0.995933005,1.306052278,10.66035757,1.205320945,-1.237839317,2.351605961,6.400208212,15.98714404,20.15002895,17.12593107,17.6379329,-6.126634178,0.518656072,5.053237164,8.588207803,7.994792511,1.743246446,-6.354338081,-2.95169034,-0.159098321,3.653906104,2.495053148,-2.415153345,3.963313049,9.804753327,5.817431283,6.414806458,5.084797842,4.755717855,4.714319583,4.679195954,4.602309109,4.525625791
United Kingdom,GBR,-1.535039662,-2.76575188,-5.407361597,-6.623584961,-5.741285703,-4.987996643,-3.647170912,-2.010268459,-0.212819016,0.759838504,1.39522799,0.335649814,-1.957129152,-3.215203595,-3.164209076,-3.150243539,-2.758964103,-2.653568444,-5.087035643,-10.0568052,-9.219279688,-7.377585574,-7.449371687,-5.343891553,-5.528871192,-4.594012578,-3.312287079,-2.491113969,-2.270078948,-2.47224499,-13.17294244,-7.724818413,-4.555601822,-6.054216145,-5.748741928,-4.336484728,-3.608600187,-2.97720687,-2.740600754,-2.522213825,-2.235795031
United States,USA,,,,,,,,,,,,-0.544239352,-3.821257011,-4.770596476,-4.24374702,-3.074996932,-2.036053447,-2.913007582,-6.612479138,-13.17682457,-10.99252607,-9.7155046,-8.113769268,-4.560712175,-4.02600504,-3.529510795,-4.356364565,-4.794193381,-5.334866344,-5.80539671,-14.12121248,-11.43393753,-3.720318101,-7.798349604,-8.031315417,-7.364785218,-7.86171787,-7.970146111,-8.114122379,-7.700652856,-7.591823414
Uruguay,URY,,,,,,,,,,-2.760621101,-2.758227167,-2.852227928,-3.186486625,-2.193659378,-0.868099134,-0.275738268,-0.642892492,-0.15674844,-1.305397225,-1.393701368,-0.387287398,-0.333791228,-2.172756595,-1.721969024,-2.599698933,-1.856900865,-2.681404446,-2.510300014,-1.887554573,-2.713893036,-4.635917648,-2.61418183,-2.521094436,-3.134516733,-3.217158089,-3.291815275,-3.83687662,-3.243574425,-2.72697883,-2.156078958,-2.145727395
Uzbekistan,UZB,,,7.152428059,-11.95216255,-4.472884414,-1.769658195,-1.570536838,-2.048985542,-3.039163395,-2.906823583,-3.656908051,-3.278347196,-6.314540223,-4.871950383,-3.74113297,-3.521035255,2.722160671,3.554055237,5.970999651,1.818659929,2.561481844,5.109829284,5.885252278,2.1514224,1.898119725,-0.277268365,0.704305414,1.04385068,1.638712037,-0.302327878,-2.949970512,-4.096969176,-3.652021006,-4.031524466,-2.370025204,-2.361108594,-2.300309105,-2.385158146,-2.340678436,-2.335340873,-2.329256267
Vanuatu,VUT,,-2.807335586,-2.323452745,-3.668920433,-1.493169413,-2.586386722,-1.777150401,-0.507299342,-6.646458496,-0.552112543,-6.275681873,-3.326088394,-3.633901458,-1.348153476,0.799929726,1.856787506,0.485867139,0.27581383,-0.043098408,-0.845598116,-2.628161733,-2.19214861,-1.699818124,-0.245634101,1.435288745,-8.662703426,-0.720297231,-1.200110658,6.255073384,2.811167985,-1.947211924,2.38034877,-6.503594993,-0.948257484,-2.340468692,-4.980074645,-4.734832396,-4.356282021,-3.857122655,-3.86435546,-3.710864669
Venezuela,VEN,3.837691511,-2.276180348,-6.367893672,-2.920910866,-11.18743968,-5.864383715,7.939882773,2.577187545,-4.489350282,0.742750787,4.449624304,-4.593408018,-1.48231228,0.171416445,2.470453084,4.094750866,-1.604650049,-2.815425963,-3.46101926,-8.685966478,-4.73949128,-8.243967775,-9.855843359,-10.35148635,-9.808392236,-8.063351981,-8.462656974,-13.27311201,-30.97602741,-10.932855,-6.628197399,-5.846635961,-5.289815322,-1.248476404,-3.599991607,-5.525681598,-5.5,-5.5,-5.5,-5.5,-5.5
Vietnam,VNM,,,,,,,,,-0.099042278,-1.245925402,-1.60529897,-2.192236616,-1.854854448,-2.558549628,-0.149549058,-0.953925795,0.20057987,-1.738695465,-0.447187085,-4.824294867,-2.25090554,-0.900955875,-5.462264626,-5.964025796,-5.016688994,-4.983223683,-3.163970783,-1.964006588,-1.021052309,-0.396740695,-2.86116551,-1.431931068,0.67090225,-1.717893943,-1.535665715,-3.259250501,-2.336796776,-2.15173925,-2.062518658,-2.038396107,-2.033533836
Yemen,YEM,-10.2734853,-5.761653995,-10.9048328,-12.79583453,-14.02725769,-5.739307577,-0.917932172,-1.502049329,-7.771003278,0.060175298,6.08732201,2.787014748,-0.555482488,-4.200715724,-2.152456222,-1.821754146,1.186180547,-7.183132372,-4.531695393,-10.21097569,-4.058458583,-4.506747746,-6.31517652,-6.897118695,-4.136083974,-8.749793204,-8.507021115,-4.904564229,-7.847146694,-5.885731037,-4.300823141,-0.889684026,-2.151373295,-5.633211311,-2.476039382,-3.662240194,-4.529696341,-4.658632837,-1.297082584,-3.904634645,-2.066265047
Zambia,ZMB,,,,,,,,,,,1.160610163,-5.892186391,-4.498904659,-5.314294719,-2.508440648,-2.372064414,16.91274579,-1.036850222,-0.667891772,-2.057125339,-2.432209004,-1.783438537,-3.15741804,-6.395299362,-5.43297664,-8.877561926,-5.690863327,-7.498812702,-8.308662167,-9.407156139,-13.76213388,-8.134937246,-7.820747396,-5.478546618,-3.321001287,-5.25356753,-3.704811997,-1.646571968,-1.630718433,-1.357508796,-1.148515724
Zimbabwe,ZWE,,,,,,,,,,,,,,,,-3.462149531,-1.400009414,-1.674338647,-1.196275532,-1.391271409,-0.106294498,-1.717269346,-0.127167316,-0.69178139,-0.70631559,-1.445897163,-4.627511016,-7.37313973,-3.813903643,-1.719347339,-0.337051297,-2.23892973,-3.303288974,-3.903645722,-1.055291371,-0.748,-0.227,0.00475609,-0.031940875,-0.058559302,-0.09112383